$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       1201  11     26.00
WA824       1201  12     32.00
WA824       1201  13     35.00
WA824       1201  14     34.00
WA824       1201  15     27.00
WA824       1201  16     32.00
WA824       1201  17     34.00
WA824       1201  18     29.00
WA824       1201  19     34.00
WA824       1201  20     38.00
WA824       1201  21     32.00
WA824       1201  22     31.00
WA824       1201  23     39.00
WA824       1201  24     36.00
WA824       1201  25     42.00
WA824       1201  26     34.00
WA824       1201  27     31.00
WA824       1201  28     37.00
WA824       1201  29     41.00
WA824       1201  30     37.00
WA824       1201  31     34.00
WA824       0102   1     34.00
WA824       0102   2     35.00
WA824       0102   3     34.00
WA824       0102   4     33.00
WA824       0102   5     31.00
WA824       0102   6     39.00
WA824       0102   7     42.00
WA824       0102   8     41.00
WA824       0102   9     44.00
WA824       0102  10     38.00
WA824       0102  11     40.00
WA824       0102  12     42.00
WA824       0102  13     31.00
WA824       0102  14     28.00
WA824       0102  15     22.00
WA824       0102  16     30.00
WA824       0102  17     23.00
WA824       0102  18     27.00
WA824       0102  19     27.00
WA824       0102  20     30.00
WA824       0102  21     28.00
WA824       0102  22     23.00
WA824       0102  23     29.00
WA824       0102  24     33.00
WA824       0102  25     33.00
WA824       0102  26     27.00
WA824       0102  27     28.00
WA824       0102  28     28.00
WA824       0102  29     18.00
WA824       0102  30     24.00
WA824       0102  31     27.00
WA824       0202   1     29.00
WA824       0202   2     34.00
WA824       0202   3     29.00
WA824       0202   4     35.00
WA824       0202   5     38.00
WA824       0202   6     36.00
WA824       0202   7     33.00
WA824       0202   8     28.00
WA824       0202   9     33.00
WA824       0202  10     40.00
WA824       0202  11     34.00
WA824       0202  12     38.00
WA824       0202  13     40.00
WA824       0202  14     40.00
WA824       0202  15     44.00
WA824       0202  16     47.00
WA824       0202  17     48.00
WA824       0202  18     42.00
WA824       0202  19     35.00
WA824       0202  20     44.00
WA824       0202  21     40.00
WA824       0202  22     50.00
WA824       0202  23     42.00
WA824       0202  24     31.00
WA824       0202  25     33.00
WA824       0202  26     31.00
WA824       0202  27   -999.00
WA824       0202  28     35.00
WA824       0302   1     30.00
WA824       0302   2     33.00
WA824       0302   3     46.00
WA824       0302   4     44.00
WA824       0302   5     35.00
WA824       0302   6     35.00
WA824       0302   7     32.00
WA824       0302   8     22.00
WA824       0302   9     31.00
WA824       0302  10     40.00
WA824       0302  11     40.00
WA824       0302  12     31.00
WA824       0302  13     32.00
WA824       0302  14     33.00
WA824       0302  15     36.00
WA824       0302  16     35.00
WA824       0302  17     31.00
WA824       0302  18     27.00
WA824       0302  19     33.00
WA824       0302  20     40.00
WA824       0302  21     49.00
WA824       0302  22     60.00
WA824       0302  23     41.00
WA824       0302  24     33.00
WA824       0302  25     45.00
WA824       0302  26     50.00
WA824       0302  27     38.00
WA824       0302  28     35.00
WA824       0302  29     43.00
WA824       0302  30     51.00
WA824       0302  31     55.00
WA824       0402   1     40.00
WA824       0402   2     43.00
WA824       0402   3   -999.00
WA824       0402   4     58.00
WA824       0402   5     61.00
WA824       0402   6     41.00
WA824       0402   7     41.00
WA824       0402   8     52.00
WA824       0402   9     45.00
WA824       0402  10     44.00
WA824       0402  11     51.00
WA824       0402  12     48.00
WA824       0402  13     54.00
WA824       0402  14     46.00
WA824       0402  15     40.00
WA824       0402  16     37.00
WA824       0402  17     41.00
WA824       0402  18     44.00
WA824       0402  19     48.00
WA824       0402  20     50.00
WA824       0402  21     49.00
WA824       0402  22     50.00
WA824       0402  23     39.00
WA824       0402  24     49.00
WA824       0402  25     51.00
WA824       0402  26     47.00
WA824       0402  27     41.00
WA824       0402  28     53.00
WA824       0402  29     55.00
WA824       0402  30     55.00
WA824       0502   1     54.00
WA824       0502   2     53.00
WA824       0502   3     44.00
WA824       0502   4     47.00
WA824       0502   5     36.00
WA824       0502   6     35.00
WA824       0502   7     29.00
WA824       0502   8     47.00
WA824       0502   9     48.00
WA824       0502  10     50.00
WA824       0502  11     57.00
WA824       0502  12     64.00
WA824       0502  13     67.00
WA824       0502  14     49.00
WA824       0502  15     51.00
WA824       0502  16     58.00
WA824       0502  17     56.00
WA824       0502  18     59.00
WA824       0502  19     64.00
WA824       0502  20     43.00
WA824       0502  21     40.00
WA824       0502  22     42.00
WA824       0502  23     46.00
WA824       0502  24     58.00
WA824       0502  25     60.00
WA824       0502  26     60.00
WA824       0502  27     65.00
WA824       0502  28     62.00
WA824       0502  29     65.00
WA824       0502  30     59.00
WA824       0502  31     61.00
WA824       0602   1     51.00
WA824       0602   2     58.00
WA824       0602   3     62.00
WA824       0602   4     61.00
WA824       0602   5     56.00
WA824       0602   6     52.00
WA824       0602   7     45.00
WA824       0602   8     39.00
