$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
WA943       0202   4     47.00
WA943       0202   5     44.00
WA943       0202   6     37.00
WA943       0202   7     36.00
WA943       0202   8     38.00
WA943       0202   9     47.00
WA943       0202  10     45.00
WA943       0202  11     37.00
WA943       0202  12     46.00
WA943       0202  13     41.00
WA943       0202  14     50.00
WA943       0202  15     58.00
WA943       0202  16     44.00
WA943       0202  17     38.00
WA943       0202  18     46.00
WA943       0202  19     35.00
WA943       0202  20     45.00
WA943       0202  21     46.00
WA943       0202  22     45.00
WA943       0202  23     35.00
WA943       0202  24     33.00
WA943       0202  25     40.00
WA943       0202  26     41.00
WA943       0202  27     39.00
WA943       0202  28     36.00
WA943       0302   1     41.00
WA943       0302   2   -999.00
WA943       0302   3     55.00
WA943       0302   4     52.00
WA943       0302   5     29.00
WA943       0302   6     29.00
WA943       0302   7     27.00
WA943       0302   8     30.00
WA943       0302   9     36.00
WA943       0302  10     41.00
WA943       0302  11     40.00
WA943       0302  12     40.00
WA943       0302  13     36.00
WA943       0302  14     35.00
WA943       0302  15     37.00
WA943       0302  16     28.00
WA943       0302  17     28.00
WA943       0302  18     36.00
WA943       0302  19     33.00
WA943       0302  20     28.00
WA943       0302  21     50.00
WA943       0302  22     55.00
WA943       0302  23     45.00
WA943       0302  24     45.00
WA943       0302  25     45.00
WA943       0302  26     43.00
WA943       0302  27     35.00
WA943       0302  28     42.00
WA943       0302  29     39.00
WA943       0302  30     39.00
WA943       0302  31     45.00
WA943       0402   1     38.00
WA943       0402   2     46.00
WA943       0402   3     56.00
WA943       0402   4     62.00
WA943       0402   5     50.00
WA943       0402   6     45.00
WA943       0402   7     39.00
WA943       0402   8     53.00
WA943       0402   9     52.00
WA943       0402  10     55.00
WA943       0402  11     57.00
WA943       0402  12     50.00
WA943       0402  13     56.00
WA943       0402  14     38.00
WA943       0402  15     38.00
WA943       0402  16     37.00
WA943       0402  17     38.00
WA943       0402  18     49.00
WA943       0402  19     51.00
WA943       0402  20     49.00
WA943       0402  21     41.00
WA943       0402  22     44.00
WA943       0402  23     45.00
WA943       0402  24     48.00
WA943       0402  25     49.00
WA943       0402  26     37.00
WA943       0402  27     49.00
WA943       0402  28     51.00
WA943       0402  29     58.00
WA943       0402  30     62.00
WA943       0502   1     63.00
WA943       0502   2     44.00
WA943       0502   3     45.00
WA943       0502   4     35.00
WA943       0502   5     40.00
WA943       0502   6     33.00
WA943       0502   7     37.00
WA943       0502   8     39.00
WA943       0502   9     39.00
WA943       0502  10     50.00
WA943       0502  11     58.00
WA943       0502  12     65.00
WA943       0502  13     51.00
WA943       0502  14     38.00
WA943       0502  15     43.00
WA943       0502  16     54.00
WA943       0502  17     42.00
WA943       0502  18     52.00
WA943       0502  19     52.00
WA943       0502  20     45.00
WA943       0502  21     44.00
WA943       0502  22     45.00
WA943       0502  23     40.00
WA943       0502  24     59.00
WA943       0502  25     53.00
WA943       0502  26     54.00
WA943       0502  27     57.00
WA943       0502  28     59.00
WA943       0502  29     53.00
WA943       0502  30     52.00
WA943       0502  31     52.00
WA943       0602   1     60.00
WA943       0602   2     59.00
WA943       0602   3     57.00
WA943       0602   4     54.00
WA943       0602   5     56.00
WA943       0602   6     47.00
WA943       0602   7     46.00
WA943       0602   8     49.00
WA943       0602   9     66.00
WA943       0602  10     67.00
WA943       0602  11     71.00
WA943       0602  12     78.00
WA943       0602  13     78.00
WA943       0602  14     73.00
WA943       0602  15     68.00
WA943       0602  16     56.00
WA943       0602  17     59.00
WA943       0602  18     53.00
WA943       0602  19     58.00
WA943       0602  20     70.00
WA943       0602  21     75.00
WA943       0602  22     69.00
WA943       0602  23     56.00
WA943       0602  24     66.00
WA943       0602  25   -999.00
WA943       0602  26     80.00
WA943       0602  27     61.00
WA943       0602  28     57.00
WA943       0602  29     51.00
WA943       0602  30     47.00
WA943       0702   1     43.00
WA943       0702   2     53.00
WA943       0702   3     42.00
WA943       0702   4     45.00
WA943       0702   5     60.00
WA943       0702   6     70.00
WA943       0702   7     59.00
WA943       0702   8     56.00
WA943       0702   9     74.00
WA943       0702  10     83.00
WA943       0702  11     78.00
WA943       0702  12     81.00
WA943       0702  13     74.00
WA943       0702  14     67.00
WA943       0702  15     73.00
WA943       0702  16     72.00
WA943       0702  17     67.00
WA943       0702  18     64.00
WA943       0702  19     60.00
WA943       0702  20     70.00
WA943       0702  21     76.00
WA943       0702  22     84.00
WA943       0702  23     82.00
WA943       0702  24     83.00
WA943       0702  25     78.00
WA943       0702  26     59.00
WA943       0702  27     69.00
WA943       0702  28     67.00
WA943       0702  29     61.00
WA943       0702  30     58.00
WA943       0702  31     59.00
WA943       0802   1     58.00
WA943       0802   2     54.00
WA943       0802   3     61.00
WA943       0802   4     51.00
WA943       0802   5     49.00
WA943       0802   6     58.00
WA943       0802   7     62.00
WA943       0802   8     71.00
WA943       0802   9     70.00
WA943       0802  10     68.00
WA943       0802  11     71.00
WA943       0802  12     78.00
WA943       0802  13     90.00
WA943       0802  14     80.00
WA943       0802  15     77.00
WA943       0802  16     72.00
WA943       0802  17     69.00
WA943       0802  18     72.00
WA943       0802  19     63.00
WA943       0802  20     58.00
WA943       0802  21     63.00
WA943       0802  22     72.00
WA943       0802  23     79.00
WA943       0802  24     73.00
WA943       0802  25     61.00
WA943       0802  26     66.00
WA943       0802  27     78.00
WA943       0802  28     83.00
WA943       0802  29     72.00
WA943       0802  30     69.00
WA943       0802  31     71.00
WA943       0902   1     63.00
WA943       0902   2     61.00
WA943       0902   3     48.00
WA943       0902   4     49.00
WA943       0902   5     49.00
WA943       0902   6     51.00
WA943       0902   7     47.00
WA943       0902   8     56.00
WA943       0902   9     62.00
WA943       0902  10     67.00
WA943       0902  11     72.00
WA943       0902  12     73.00
WA943       0902  13     75.00
WA943       0902  14     73.00
WA943       0902  15     55.00
WA943       0902  16     52.00
WA943       0902  17     52.00
WA943       0902  18     52.00
WA943       0902  19     73.00
WA943       0902  20     57.00
WA943       0902  21     62.00
WA943       0902  22     69.00
WA943       0902  23     72.00
WA943       0902  24     65.00
WA943       0902  25     66.00
WA943       0902  26     59.00
WA943       0902  27     59.00
WA943       0902  28     61.00
WA943       0902  29     47.00
WA943       0902  30     46.00
WA943       1002   1     53.00
