$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0701  29     62.00
WA734       0701  30     65.00
WA734       0701  31     67.00
WA734       0801   1     70.00
WA734       0801   2     76.00
WA734       0801   3     67.00
WA734       0801   4     66.00
WA734       0801   5     73.00
WA734       0801   6     80.00
WA734       0801   7     76.00
WA734       0801   8     82.00
WA734       0801   9     85.00
WA734       0801  10     87.00
WA734       0801  11     88.00
WA734       0801  12     91.00
WA734       0801  13     87.00
WA734       0801  14     89.00
WA734       0801  15     90.00
WA734       0801  16     86.00
WA734       0801  17     75.00
WA734       0801  18     63.00
WA734       0801  19     68.00
WA734       0801  20     67.00
WA734       0801  21     64.00
WA734       0801  22     53.00
WA734       0801  23     55.00
WA734       0801  24     62.00
WA734       0801  25     73.00
WA734       0801  26     81.00
WA734       0801  27     74.00
WA734       0801  28     74.00
WA734       0801  29     80.00
WA734       0801  30     76.00
WA734       0801  31     65.00
WA734       0901   1     54.00
WA734       0901   2     66.00
WA734       0901   3     62.00
WA734       0901   4     66.00
WA734       0901   5     49.00
WA734       0901   6     59.00
WA734       0901   7     64.00
WA734       0901   8     73.00
WA734       0901   9     76.00
WA734       0901  10     74.00
WA734       0901  11     77.00
WA734       0901  12     79.00
WA734       0901  13     82.00
WA734       0901  14     82.00
WA734       0901  15     81.00
WA734       0901  16     76.00
WA734       0901  17     72.00
WA734       0901  18     64.00
WA734       0901  19     60.00
WA734       0901  20     67.00
WA734       0901  21     61.00
WA734       0901  22     72.00
WA734       0901  23     79.00
WA734       0901  24     79.00
WA734       0901  25     66.00
WA734       0901  26     47.00
WA734       0901  27     47.00
WA734       0901  28     56.00
WA734       0901  29     63.00
WA734       0901  30     69.00
WA734       1001   1     72.00
WA734       1001   2     66.00
WA734       1001   3     65.00
WA734       1001   4     61.00
WA734       1001   5     58.00
WA734       1001   6     54.00
WA734       1001   7     48.00
WA734       1001   8     44.00
WA734       1001   9     46.00
WA734       1001  10     42.00
WA734       1001  11     42.00
WA734       1001  12     45.00
WA734       1001  13     46.00
WA734       1001  14     50.00
WA734       1001  15     52.00
WA734       1001  16     54.00
WA734       1001  17     37.00
WA734       1001  18     44.00
WA734       1001  19     48.00
WA734       1001  20     51.00
WA734       1001  21     42.00
WA734       1001  22     37.00
WA734       1001  23     32.00
WA734       1001  24     33.00
WA734       1001  25     43.00
WA734       1001  26     45.00
WA734       1001  27     41.00
WA734       1001  28     40.00
WA734       1001  29     36.00
WA734       1001  30     39.00
WA734       1001  31     38.00
WA734       1101   1     39.00
WA734       1101   2     46.00
WA734       1101   3     49.00
WA734       1101   4     54.00
WA734       1101   5     39.00
WA734       1101   6     38.00
WA734       1101   7     39.00
WA734       1101   8     40.00
WA734       1101   9     45.00
WA734       1101  10     43.00
WA734       1101  11     42.00
WA734       1101  12     40.00
WA734       1101  13     40.00
WA734       1101  14   -999.00
WA734       1101  15     44.00
WA734       1101  16     39.00
WA734       1101  17     40.00
WA734       1101  18     37.00
WA734       1101  19     37.00
WA734       1101  20     37.00
WA734       1101  21     36.00
WA734       1101  22     34.00
WA734       1101  23     34.00
WA734       1101  24     30.00
WA734       1101  25     32.00
WA734       1101  26     34.00
WA734       1101  27     33.00
WA734       1101  28     23.00
WA734       1101  29     29.00
WA734       1101  30     28.00
WA734       1201   1     32.00
WA734       1201   2     29.00
WA734       1201   3     27.00
WA734       1201   4     26.00
WA734       1201   5     28.00
WA734       1201   6     30.00
WA734       1201   7     34.00
WA734       1201   8     38.00
WA734       1201   9     30.00
WA734       1201  10     26.00
WA734       1201  11     29.00
WA734       1201  12     33.00
WA734       1201  13     35.00
WA734       1201  14     29.00
WA734       1201  15   -999.00
WA734       1201  16   -999.00
WA734       1201  17     31.00
WA734       1201  18   -999.00
WA734       1201  19     28.00
WA734       1201  20   -999.00
WA734       1201  21     34.00
WA734       1201  22     26.00
WA734       1201  23     28.00
WA734       1201  24     25.00
WA734       1201  25     22.00
WA734       1201  26     23.00
WA734       1201  27   -999.00
WA734       1201  28     33.00
WA734       1201  29     28.00
WA734       1201  30     30.00
WA734       1201  31     30.00
WA734       0102   1   -999.00
WA734       0102   2   -999.00
WA734       0102   3   -999.00
WA734       0102   4   -999.00
WA734       0102   5   -999.00
WA734       0102   6   -999.00
WA734       0102   7   -999.00
WA734       0102   8     37.00
WA734       0102   9     36.00
WA734       0102  10     38.00
WA734       0102  11     34.00
WA734       0102  12     32.00
WA734       0102  13     30.00
WA734       0102  14     28.00
WA734       0102  15     33.00
WA734       0102  16     29.00
WA734       0102  17     31.00
WA734       0102  18     31.00
WA734       0102  19     32.00
WA734       0102  20     30.00
WA734       0102  21     29.00
WA734       0102  22     29.00
WA734       0102  23     31.00
WA734       0102  24     33.00
WA734       0102  25     32.00
WA734       0102  26     25.00
WA734       0102  27     32.00
WA734       0102  28     30.00
WA734       0102  29     26.00
WA734       0102  30     33.00
WA734       0102  31     33.00
WA734       0202   1     34.00
WA734       0202   2     33.00
WA734       0202   3     33.00
WA734       0202   4     35.00
WA734       0202   5     33.00
WA734       0202   6     32.00
WA734       0202   7     32.00
WA734       0202   8     35.00
WA734       0202   9     34.00
WA734       0202  10     39.00
WA734       0202  11     34.00
WA734       0202  12     35.00
WA734       0202  13     43.00
WA734       0202  14     42.00
WA734       0202  15     40.00
WA734       0202  16     42.00
WA734       0202  17     40.00
WA734       0202  18     44.00
WA734       0202  19     36.00
WA734       0202  20     44.00
WA734       0202  21     45.00
WA734       0202  22     46.00
WA734       0202  23     39.00
WA734       0202  24     35.00
WA734       0202  25     31.00
WA734       0202  26     41.00
WA734       0202  27     40.00
WA734       0202  28     40.00
WA734       0302   1     41.00
WA734       0302   2     42.00
WA734       0302   3     52.00
WA734       0302   4     51.00
WA734       0302   5     35.00
WA734       0302   6     26.00
WA734       0302   7     30.00
WA734       0302   8     30.00
WA734       0302   9     32.00
WA734       0302  10     32.00
WA734       0302  11     35.00
WA734       0302  12     40.00
WA734       0302  13     40.00
WA734       0302  14     36.00
WA734       0302  15     38.00
WA734       0302  16     34.00
WA734       0302  17     38.00
WA734       0302  18     29.00
WA734       0302  19     31.00
WA734       0302  20     33.00
WA734       0302  21     24.00
WA734       0302  22     45.00
WA734       0302  23     53.00
WA734       0302  24     44.00
WA734       0302  25     54.00
WA734       0302  26     48.00
WA734       0302  27     42.00
WA734       0302  28     41.00
WA734       0302  29     44.00
WA734       0302  30     52.00
WA734       0302  31     53.00
WA734       0402   1     48.00
WA734       0402   2     48.00
WA734       0402   3     57.00
WA734       0402   4     62.00
WA734       0402   5     58.00
WA734       0402   6     45.00
WA734       0402   7     48.00
WA734       0402   8     58.00
WA734       0402   9     45.00
WA734       0402  10     51.00
WA734       0402  11     50.00
WA734       0402  12     53.00
WA734       0402  13     50.00
WA734       0402  14     38.00
WA734       0402  15     43.00
WA734       0402  16     37.00
WA734       0402  17     45.00
WA734       0402  18     54.00
WA734       0402  19     57.00
WA734       0402  20     61.00
WA734       0402  21     51.00
WA734       0402  22     40.00
WA734       0402  23     47.00
WA734       0402  24     55.00
WA734       0402  25     57.00
WA734       0402  26     47.00
WA734       0402  27     49.00
WA734       0402  28     59.00
WA734       0402  29     66.00
WA734       0402  30     69.00
WA734       0502   1     68.00
WA734       0502   2     53.00
WA734       0502   3     53.00
WA734       0502   4     42.00
WA734       0502   5     41.00
WA734       0502   6     42.00
WA734       0502   7     47.00
WA734       0502   8     57.00
WA734       0502   9     53.00
WA734       0502  10     63.00
WA734       0502  11     65.00
WA734       0502  12     68.00
WA734       0502  13     57.00
WA734       0502  14     54.00
WA734       0502  15     59.00
WA734       0502  16     64.00
WA734       0502  17     60.00
WA734       0502  18     53.00
WA734       0502  19     58.00
WA734       0502  20     50.00
WA734       0502  21     49.00
WA734       0502  22     46.00
WA734       0502  23     62.00
WA734       0502  24     69.00
WA734       0502  25     66.00
WA734       0502  26     61.00
WA734       0502  27     65.00
WA734       0502  28     63.00
WA734       0502  29     62.00
WA734       0502  30     67.00
WA734       0502  31     64.00
WA734       0602   1     70.00
WA734       0602   2     69.00
WA734       0602   3     67.00
WA734       0602   4     66.00
WA734       0602   5     61.00
WA734       0602   6     52.00
WA734       0602   7     46.00
WA734       0602   8     52.00
WA734       0602   9     65.00
WA734       0602  10     71.00
WA734       0602  11     76.00
WA734       0602  12     81.00
WA734       0602  13     81.00
WA734       0602  14     85.00
WA734       0602  15     84.00
WA734       0602  16     66.00
WA734       0602  17     61.00
WA734       0602  18     52.00
WA734       0602  19     69.00
WA734       0602  20     77.00
WA734       0602  21     83.00
WA734       0602  22     82.00
WA734       0602  23     70.00
WA734       0602  24     79.00
WA734       0602  25   -999.00
WA734       0602  26     93.00
WA734       0602  27     68.00
WA734       0602  28     52.00
WA734       0602  29     56.00
WA734       0602  30   -999.00
WA734       0702   1   -999.00
WA734       0702   2   -999.00
WA734       0702   3   -999.00
WA734       0702   4   -999.00
WA734       0702   5   -999.00
WA734       0702   6   -999.00
WA734       0702   7   -999.00
WA734       0702   8   -999.00
WA734       0702   9   -999.00
WA734       0702  10   -999.00
WA734       0702  11   -999.00
WA734       0702  12   -999.00
WA734       0702  13   -999.00
WA734       0702  14   -999.00
WA734       0702  15   -999.00
WA734       0702  16   -999.00
WA734       0702  17   -999.00
WA734       0702  18   -999.00
WA734       0702  19   -999.00
WA734       0702  20   -999.00
WA734       0702  21   -999.00
WA734       0702  22   -999.00
WA734       0702  23   -999.00
WA734       0702  24   -999.00
WA734       0702  25   -999.00
WA734       0702  26   -999.00
WA734       0702  27   -999.00
WA734       0702  28   -999.00
WA734       0702  29   -999.00
WA734       0702  30   -999.00
WA734       0702  31   -999.00
WA734       0802   1   -999.00
WA734       0802   2   -999.00
WA734       0802   3   -999.00
WA734       0802   4   -999.00
WA734       0802   5   -999.00
WA734       0802   6   -999.00
WA734       0802   7   -999.00
WA734       0802   8   -999.00
WA734       0802   9   -999.00
WA734       0802  10   -999.00
WA734       0802  11   -999.00
WA734       0802  12   -999.00
WA734       0802  13   -999.00
WA734       0802  14   -999.00
WA734       0802  15   -999.00
WA734       0802  16   -999.00
WA734       0802  17   -999.00
WA734       0802  18   -999.00
WA734       0802  19   -999.00
WA734       0802  20   -999.00
WA734       0802  21   -999.00
WA734       0802  22   -999.00
WA734       0802  23   -999.00
WA734       0802  24   -999.00
WA734       0802  25   -999.00
WA734       0802  26   -999.00
WA734       0802  27   -999.00
WA734       0802  28   -999.00
WA734       0802  29   -999.00
WA734       0802  30   -999.00
WA734       0802  31   -999.00
WA734       0902   1   -999.00
WA734       0902   2   -999.00
WA734       0902   3   -999.00
WA734       0902   4   -999.00
WA734       0902   5   -999.00
WA734       0902   6   -999.00
WA734       0902   7   -999.00
WA734       0902   8   -999.00
WA734       0902   9   -999.00
WA734       0902  10   -999.00
WA734       0902  11   -999.00
WA734       0902  12   -999.00
WA734       0902  13   -999.00
WA734       0902  14   -999.00
WA734       0902  15   -999.00
WA734       0902  16   -999.00
WA734       0902  17   -999.00
WA734       0902  18   -999.00
WA734       0902  19   -999.00
WA734       0902  20   -999.00
WA734       0902  21   -999.00
WA734       0902  22   -999.00
