$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0402  12     49.00
WA975       0402  13     47.00
WA975       0402  14     40.00
WA975       0402  15     38.00
WA975       0402  16     45.00
WA975       0402  17     48.00
WA975       0402  18     49.00
WA975       0402  19     53.00
WA975       0402  20     55.00
WA975       0402  21     45.00
WA975       0402  22     45.00
WA975       0402  23     40.00
WA975       0402  24     49.00
WA975       0402  25     52.00
WA975       0402  26     49.00
WA975       0402  27     53.00
WA975       0402  28     54.00
WA975       0402  29     64.00
WA975       0402  30     65.00
WA975       0502   1     61.00
WA975       0502   2     47.00
WA975       0502   3     44.00
WA975       0502   4     41.00
WA975       0502   5     39.00
WA975       0502   6     41.00
WA975       0502   7     40.00
WA975       0502   8     48.00
WA975       0502   9     47.00
WA975       0502  10     53.00
WA975       0502  11     60.00
WA975       0502  12     63.00
WA975       0502  13     60.00
WA975       0502  14     45.00
WA975       0502  15     53.00
WA975       0502  16     60.00
WA975       0502  17     54.00
WA975       0502  18     54.00
WA975       0502  19     60.00
WA975       0502  20     53.00
WA975       0502  21     45.00
WA975       0502  22     42.00
WA975       0502  23     53.00
WA975       0502  24     61.00
WA975       0502  25     51.00
WA975       0502  26     59.00
WA975       0502  27     64.00
WA975       0502  28     59.00
WA975       0502  29     58.00
WA975       0502  30     61.00
WA975       0502  31     56.00
WA975       0602   1     63.00
WA975       0602   2     62.00
WA975       0602   3     65.00
WA975       0602   4     60.00
WA975       0602   5     57.00
WA975       0602   6     45.00
WA975       0602   7     46.00
WA975       0602   8     42.00
WA975       0602   9     64.00
WA975       0602  10     67.00
WA975       0602  11     70.00
WA975       0602  12     74.00
WA975       0602  13     75.00
WA975       0602  14     79.00
WA975       0602  15     75.00
WA975       0602  16     61.00
WA975       0602  17     59.00
WA975       0602  18     47.00
WA975       0602  19     61.00
WA975       0602  20     71.00
WA975       0602  21     76.00
WA975       0602  22     74.00
WA975       0602  23     65.00
WA975       0602  24     71.00
WA975       0602  25     79.00
WA975       0602  26     84.00
WA975       0602  27     68.00
WA975       0602  28     55.00
WA975       0602  29     52.00
WA975       0602  30     51.00
WA975       0702   1     55.00
WA975       0702   2     65.00
WA975       0702   3     59.00
WA975       0702   4     50.00
WA975       0702   5     68.00
WA975       0702   6     74.00
WA975       0702   7     69.00
WA975       0702   8     54.00
WA975       0702   9     77.00
WA975       0702  10     86.00
WA975       0702  11     82.00
WA975       0702  12     86.00
WA975       0702  13     79.00
WA975       0702  14     70.00
WA975       0702  15     76.00
WA975       0702  16     79.00
WA975       0702  17     75.00
WA975       0702  18     77.00
WA975       0702  19     67.00
WA975       0702  20     73.00
WA975       0702  21     78.00
WA975       0702  22     85.00
WA975       0702  23     82.00
WA975       0702  24     81.00
WA975       0702  25     78.00
WA975       0702  26     68.00
WA975       0702  27     69.00
WA975       0702  28     56.00
WA975       0702  29     56.00
WA975       0702  30     62.00
WA975       0702  31     64.00
WA975       0802   1     68.00
WA975       0802   2     58.00
WA975       0802   3     66.00
WA975       0802   4     58.00
WA975       0802   5     58.00
WA975       0802   6     57.00
WA975       0802   7     63.00
WA975       0802   8     70.00
WA975       0802   9     71.00
WA975       0802  10     69.00
WA975       0802  11     72.00
WA975       0802  12     78.00
WA975       0802  13     86.00
WA975       0802  14     78.00
WA975       0802  15     77.00
WA975       0802  16     71.00
WA975       0802  17     67.00
WA975       0802  18     71.00
WA975       0802  19     67.00
WA975       0802  20     64.00
WA975       0802  21     68.00
WA975       0802  22     75.00
WA975       0802  23     80.00
WA975       0802  24     79.00
WA975       0802  25     68.00
WA975       0802  26     67.00
WA975       0802  27     81.00
WA975       0802  28     83.00
WA975       0802  29     76.00
WA975       0802  30     71.00
WA975       0802  31     70.00
WA975       0902   1     58.00
WA975       0902   2     57.00
WA975       0902   3     54.00
WA975       0902   4     57.00
WA975       0902   5     57.00
WA975       0902   6     60.00
WA975       0902   7     53.00
WA975       0902   8     57.00
WA975       0902   9     68.00
WA975       0902  10     73.00
WA975       0902  11     76.00
WA975       0902  12     75.00
WA975       0902  13     77.00
WA975       0902  14     81.00
WA975       0902  15     71.00
WA975       0902  16     55.00
WA975       0902  17     54.00
WA975       0902  18     53.00
WA975       0902  19     59.00
WA975       0902  20     57.00
WA975       0902  21     65.00
WA975       0902  22     70.00
WA975       0902  23     72.00
WA975       0902  24     66.00
WA975       0902  25     65.00
WA975       0902  26     55.00
WA975       0902  27     62.00
WA975       0902  28     64.00
WA975       0902  29     45.00
WA975       0902  30     48.00
