$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
WA912       0702   8     54.00
WA912       0702   9     83.00
WA912       0702  10     90.00
WA912       0702  11     77.00
WA912       0702  12     82.00
WA912       0702  13     77.00
WA912       0702  14     65.00
WA912       0702  15     72.00
WA912       0702  16     76.00
WA912       0702  17     74.00
WA912       0702  18     72.00
WA912       0702  19     61.00
WA912       0702  20     68.00
WA912       0702  21     78.00
WA912       0702  22     88.00
WA912       0702  23     81.00
WA912       0702  24     82.00
WA912       0702  25     70.00
WA912       0702  26     54.00
WA912       0702  27     63.00
WA912       0702  28     54.00
WA912       0702  29     58.00
WA912       0702  30     57.00
WA912       0702  31     62.00
WA912       0802   1     68.00
WA912       0802   2     60.00
WA912       0802   3     63.00
WA912       0802   4     52.00
WA912       0802   5     56.00
WA912       0802   6     49.00
WA912       0802   7     64.00
WA912       0802   8     72.00
WA912       0802   9     72.00
WA912       0802  10     67.00
WA912       0802  11     72.00
WA912       0802  12     79.00
WA912       0802  13     84.00
WA912       0802  14     78.00
WA912       0802  15     76.00
WA912       0802  16     74.00
WA912       0802  17     71.00
WA912       0802  18     72.00
WA912       0802  19     66.00
WA912       0802  20     49.00
WA912       0802  21     54.00
WA912       0802  22     71.00
WA912       0802  23     75.00
WA912       0802  24     72.00
WA912       0802  25     57.00
WA912       0802  26     58.00
WA912       0802  27     81.00
WA912       0802  28     83.00
WA912       0802  29     71.00
WA912       0802  30     55.00
WA912       0802  31     70.00
WA912       0902   1     56.00
WA912       0902   2     56.00
WA912       0902   3     56.00
WA912       0902   4     61.00
WA912       0902   5     60.00
WA912       0902   6     61.00
WA912       0902   7     54.00
WA912       0902   8     55.00
WA912       0902   9     68.00
WA912       0902  10     72.00
WA912       0902  11     75.00
WA912       0902  12     75.00
WA912       0902  13     78.00
WA912       0902  14     75.00
WA912       0902  15     55.00
WA912       0902  16     50.00
WA912       0902  17     52.00
WA912       0902  18     55.00
WA912       0902  19     55.00
WA912       0902  20     53.00
WA912       0902  21     67.00
WA912       0902  22     72.00
WA912       0902  23     76.00
WA912       0902  24     65.00
WA912       0902  25     69.00
WA912       0902  26     61.00
WA912       0902  27     57.00
WA912       0902  28     65.00
WA912       0902  29     46.00
WA912       0902  30     48.00
