$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0402  19     46.00
WA832       0402  20     48.00
WA832       0402  21     46.00
WA832       0402  22     42.00
WA832       0402  23     34.00
WA832       0402  24     42.00
WA832       0402  25     44.00
WA832       0402  26     40.00
WA832       0402  27     40.00
WA832       0402  28     49.00
WA832       0402  29     51.00
WA832       0402  30     54.00
WA832       0502   1     56.00
WA832       0502   2     53.00
WA832       0502   3     41.00
WA832       0502   4     39.00
WA832       0502   5     33.00
WA832       0502   6     30.00
WA832       0502   7     37.00
WA832       0502   8     39.00
WA832       0502   9     38.00
WA832       0502  10     46.00
WA832       0502  11     53.00
WA832       0502  12     56.00
WA832       0502  13     54.00
WA832       0502  14     43.00
WA832       0502  15     49.00
WA832       0502  16     52.00
WA832       0502  17     51.00
WA832       0502  18     46.00
WA832       0502  19     54.00
WA832       0502  20     47.00
WA832       0502  21     46.00
WA832       0502  22     45.00
WA832       0502  23     48.00
WA832       0502  24     55.00
WA832       0502  25     54.00
WA832       0502  26     56.00
WA832       0502  27     58.00
WA832       0502  28     52.00
WA832       0502  29     56.00
WA832       0502  30     59.00
WA832       0502  31     56.00
WA832       0602   1     59.00
WA832       0602   2     57.00
WA832       0602   3     60.00
WA832       0602   4     62.00
WA832       0602   5     51.00
WA832       0602   6     45.00
WA832       0602   7     42.00
WA832       0602   8     43.00
WA832       0602   9     51.00
WA832       0602  10     61.00
WA832       0602  11     61.00
WA832       0602  12     68.00
WA832       0602  13     69.00
WA832       0602  14     74.00
WA832       0602  15     73.00
WA832       0602  16     65.00
WA832       0602  17     55.00
WA832       0602  18     49.00
WA832       0602  19     57.00
WA832       0602  20     62.00
WA832       0602  21     71.00
WA832       0602  22     72.00
WA832       0602  23     64.00
WA832       0602  24     67.00
WA832       0602  25     75.00
WA832       0602  26     80.00
WA832       0602  27     69.00
WA832       0602  28     51.00
WA832       0602  29     51.00
WA832       0602  30     51.00
WA832       0702   1     56.00
WA832       0702   2     62.00
WA832       0702   3     59.00
WA832       0702   4     51.00
WA832       0702   5     60.00
WA832       0702   6     67.00
WA832       0702   7     72.00
WA832       0702   8     58.00
WA832       0702   9     68.00
WA832       0702  10     81.00
WA832       0702  11     85.00
WA832       0702  12     87.00
WA832       0702  13     85.00
WA832       0702  14     69.00
WA832       0702  15     73.00
WA832       0702  16     76.00
WA832       0702  17     74.00
WA832       0702  18     75.00
WA832       0702  19     68.00
WA832       0702  20     71.00
WA832       0702  21     73.00
WA832       0702  22     76.00
WA832       0702  23     78.00
WA832       0702  24     79.00
WA832       0702  25     77.00
WA832       0702  26     71.00
WA832       0702  27     70.00
WA832       0702  28     66.00
WA832       0702  29     66.00
WA832       0702  30     61.00
WA832       0702  31     62.00
WA832       0802   1     65.00
WA832       0802   2     58.00
WA832       0802   3     64.00
WA832       0802   4     53.00
WA832       0802   5     58.00
WA832       0802   6     52.00
WA832       0802   7     58.00
WA832       0802   8     68.00
WA832       0802   9     73.00
WA832       0802  10     70.00
WA832       0802  11     70.00
WA832       0802  12     74.00
WA832       0802  13     82.00
WA832       0802  14     79.00
WA832       0802  15     74.00
WA832       0802  16     69.00
WA832       0802  17     68.00
WA832       0802  18     67.00
WA832       0802  19     68.00
WA832       0802  20     59.00
WA832       0802  21     64.00
WA832       0802  22     69.00
WA832       0802  23     70.00
WA832       0802  24     73.00
WA832       0802  25     69.00
WA832       0802  26     67.00
WA832       0802  27     72.00
WA832       0802  28     72.00
WA832       0802  29     72.00
WA832       0802  30     68.00
WA832       0802  31     71.00
WA832       0902   1     58.00
WA832       0902   2     65.00
WA832       0902   3     56.00
WA832       0902   4     55.00
WA832       0902   5   -999.00
WA832       0902   6     56.00
WA832       0902   7     52.00
WA832       0902   8     54.00
WA832       0902   9     64.00
WA832       0902  10     69.00
WA832       0902  11     74.00
WA832       0902  12     75.00
WA832       0902  13     74.00
WA832       0902  14     74.00
WA832       0902  15     70.00
WA832       0902  16     53.00
WA832       0902  17     55.00
WA832       0902  18     58.00
WA832       0902  19     63.00
WA832       0902  20     54.00
WA832       0902  21     52.00
WA832       0902  22     67.00
WA832       0902  23     71.00
WA832       0902  24     60.00
WA832       0902  25     61.00
WA832       0902  26     60.00
WA832       0902  27     52.00
WA832       0902  28     58.00
WA832       0902  29     47.00
WA832       0902  30     41.00
WA832       1002   1     44.00
WA832       1002   2     53.00
