$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0102  12     20.00
WA507       0102  13     12.00
WA507       0102  14     16.00
WA507       0102  15     14.00
WA507       0102  16     14.00
WA507       0102  17      9.00
WA507       0102  18      8.00
WA507       0102  19     19.00
WA507       0102  20     19.00
WA507       0102  21     13.00
WA507       0102  22     13.00
WA507       0102  23     14.00
WA507       0102  24     27.00
WA507       0102  25     15.00
WA507       0102  26      9.00
WA507       0102  27      7.00
WA507       0102  28      3.00
WA507       0102  29      5.00
WA507       0102  30     16.00
WA507       0102  31     16.00
WA507       0202   1     16.00
WA507       0202   2     14.00
WA507       0202   3     11.00
WA507       0202   4     11.00
WA507       0202   5     18.00
WA507       0202   6     23.00
WA507       0202   7     20.00
WA507       0202   8     14.00
WA507       0202   9     13.00
WA507       0202  10     18.00
WA507       0202  11     10.00
WA507       0202  12     11.00
WA507       0202  13     12.00
WA507       0202  14     15.00
WA507       0202  15     17.00
WA507       0202  16     18.00
WA507       0202  17     22.00
WA507       0202  18     25.00
WA507       0202  19     19.00
WA507       0202  20     16.00
WA507       0202  21     26.00
WA507       0202  22     35.00
WA507       0202  23     22.00
WA507       0202  24      6.00
WA507       0202  25      3.00
WA507       0202  26      5.00
WA507       0202  27     11.00
WA507       0202  28     10.00
WA507       0302   1      9.00
WA507       0302   2     10.00
WA507       0302   3     14.00
WA507       0302   4     27.00
WA507       0302   5     24.00
WA507       0302   6     13.00
WA507       0302   7      2.00
WA507       0302   8      6.00
WA507       0302   9     11.00
WA507       0302  10     19.00
WA507       0302  11     22.00
WA507       0302  12     19.00
WA507       0302  13     18.00
WA507       0302  14     18.00
WA507       0302  15     15.00
WA507       0302  16     11.00
WA507       0302  17      7.00
WA507       0302  18      3.00
WA507       0302  19     22.00
WA507       0302  20     10.00
WA507       0302  21     10.00
WA507       0302  22     24.00
WA507       0302  23     26.00
WA507       0302  24     30.00
WA507       0302  25     24.00
WA507       0302  26     22.00
WA507       0302  27     19.00
WA507       0302  28     23.00
WA507       0302  29     20.00
WA507       0302  30     25.00
WA507       0302  31     29.00
WA507       0402   1     20.00
WA507       0402   2     17.00
WA507       0402   3     18.00
WA507       0402   4     26.00
WA507       0402   5     31.00
WA507       0402   6     29.00
WA507       0402   7     25.00
WA507       0402   8     24.00
WA507       0402   9     30.00
WA507       0402  10     28.00
WA507       0402  11     29.00
WA507       0402  12     33.00
WA507       0402  13     36.00
WA507       0402  14     19.00
WA507       0402  15     20.00
