$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
WA699       0902   5     37.00
WA699       0902   6     35.00
WA699       0902   7     34.00
WA699       0902   8     33.00
WA699       0902   9     43.00
WA699       0902  10     45.00
WA699       0902  11     49.00
WA699       0902  12     52.00
WA699       0902  13     48.00
WA699       0902  14     52.00
WA699       0902  15     52.00
WA699       0902  16     48.00
WA699       0902  17     38.00
WA699       0902  18     36.00
WA699       0902  19     40.00
WA699       0902  20     33.00
WA699       0902  21     34.00
WA699       0902  22     40.00
WA699       0902  23     43.00
WA699       0902  24     44.00
WA699       0902  25     40.00
WA699       0902  26     40.00
WA699       0902  27     38.00
WA699       0902  28     39.00
WA699       0902  29     33.00
WA699       0902  30     30.00
