$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
WA974       0602  20   -999.00
WA974       0602  21   -999.00
WA974       0602  22   -999.00
WA974       0602  23   -999.00
WA974       0602  24   -999.00
WA974       0602  25   -999.00
WA974       0602  26   -999.00
WA974       0602  27   -999.00
WA974       0602  28   -999.00
WA974       0602  29   -999.00
WA974       0602  30   -999.00
WA974       0702   1   -999.00
WA974       0702   2   -999.00
WA974       0702   3   -999.00
WA974       0702   4   -999.00
WA974       0702   5   -999.00
WA974       0702   6   -999.00
WA974       0702   7   -999.00
WA974       0702   8   -999.00
WA974       0702   9   -999.00
WA974       0702  10   -999.00
WA974       0702  11   -999.00
WA974       0702  12   -999.00
WA974       0702  13   -999.00
WA974       0702  14   -999.00
WA974       0702  15   -999.00
WA974       0702  16   -999.00
WA974       0702  17   -999.00
WA974       0702  18   -999.00
WA974       0702  19   -999.00
WA974       0702  20   -999.00
WA974       0702  21   -999.00
WA974       0702  22   -999.00
WA974       0702  23   -999.00
WA974       0702  24   -999.00
WA974       0702  25   -999.00
WA974       0702  26   -999.00
WA974       0702  27   -999.00
WA974       0702  28   -999.00
WA974       0702  29   -999.00
WA974       0702  30   -999.00
WA974       0702  31   -999.00
WA974       0802   1   -999.00
WA974       0802   2   -999.00
WA974       0802   3   -999.00
WA974       0802   4   -999.00
WA974       0802   5   -999.00
WA974       0802   6   -999.00
WA974       0802   7   -999.00
WA974       0802   8   -999.00
WA974       0802   9   -999.00
WA974       0802  10   -999.00
WA974       0802  11   -999.00
WA974       0802  12   -999.00
WA974       0802  13   -999.00
WA974       0802  14   -999.00
WA974       0802  15   -999.00
WA974       0802  16   -999.00
WA974       0802  17   -999.00
WA974       0802  18   -999.00
WA974       0802  19   -999.00
WA974       0802  20   -999.00
WA974       0802  21   -999.00
WA974       0802  22   -999.00
WA974       0802  23   -999.00
WA974       0802  24   -999.00
WA974       0802  25   -999.00
WA974       0802  26   -999.00
WA974       0802  27   -999.00
WA974       0802  28   -999.00
WA974       0802  29   -999.00
WA974       0802  30   -999.00
WA974       0802  31   -999.00
WA974       0902   1   -999.00
WA974       0902   2   -999.00
WA974       0902   3   -999.00
WA974       0902   4   -999.00
