$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0402  21     33.00
WA420       0402  22     28.00
WA420       0402  23     27.00
WA420       0402  24     26.00
WA420       0402  25     31.00
WA420       0402  26     29.00
WA420       0402  27     31.00
WA420       0402  28     33.00
WA420       0402  29     33.00
WA420       0402  30     36.00
WA420       0502   1     34.00
WA420       0502   2     29.00
WA420       0502   3     29.00
WA420       0502   4     29.00
WA420       0502   5     27.00
WA420       0502   6     26.00
WA420       0502   7     26.00
WA420       0502   8     30.00
WA420       0502   9     30.00
WA420       0502  10     29.00
WA420       0502  11     31.00
WA420       0502  12     48.00
WA420       0502  13     33.00
WA420       0502  14     33.00
WA420       0502  15     28.00
WA420       0502  16     30.00
WA420       0502  17     35.00
WA420       0502  18     37.00
WA420       0502  19     39.00
WA420       0502  20     36.00
WA420       0502  21     37.00
WA420       0502  22     36.00
WA420       0502  23     34.00
WA420       0502  24     33.00
WA420       0502  25     40.00
WA420       0502  26     42.00
WA420       0502  27     42.00
WA420       0502  28     43.00
WA420       0502  29     42.00
WA420       0502  30     36.00
WA420       0502  31     38.00
WA420       0602   1     38.00
WA420       0602   2     37.00
WA420       0602   3     38.00
WA420       0602   4     44.00
WA420       0602   5     40.00
WA420       0602   6     33.00
WA420       0602   7     32.00
WA420       0602   8     32.00
WA420       0602   9     37.00
WA420       0602  10     42.00
WA420       0602  11     43.00
WA420       0602  12     48.00
WA420       0602  13     62.00
WA420       0602  14     49.00
WA420       0602  15     45.00
WA420       0602  16     44.00
WA420       0602  17     41.00
WA420       0602  18     39.00
WA420       0602  19     39.00
WA420       0602  20     42.00
WA420       0602  21     50.00
WA420       0602  22     47.00
WA420       0602  23     46.00
WA420       0602  24     46.00
WA420       0602  25     48.00
WA420       0602  26     54.00
WA420       0602  27     46.00
WA420       0602  28     45.00
WA420       0602  29     42.00
WA420       0602  30     42.00
WA420       0702   1     40.00
WA420       0702   2     38.00
WA420       0702   3     41.00
WA420       0702   4     39.00
WA420       0702   5     37.00
WA420       0702   6     46.00
WA420       0702   7     51.00
WA420       0702   8     43.00
WA420       0702   9     43.00
WA420       0702  10     61.00
WA420       0702  11     55.00
WA420       0702  12     52.00
WA420       0702  13     53.00
WA420       0702  14     45.00
WA420       0702  15     44.00
WA420       0702  16     47.00
WA420       0702  17     51.00
WA420       0702  18     52.00
WA420       0702  19     47.00
WA420       0702  20     45.00
WA420       0702  21     48.00
