$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
WA898       0802  27     49.00
WA898       0802  28     58.00
WA898       0802  29     47.00
WA898       0802  30     44.00
WA898       0802  31     47.00
WA898       0902   1     50.00
WA898       0902   2     46.00
WA898       0902   3     39.00
WA898       0902   4     39.00
WA898       0902   5     40.00
WA898       0902   6     40.00
WA898       0902   7     41.00
WA898       0902   8     39.00
WA898       0902   9     48.00
WA898       0902  10     51.00
WA898       0902  11     49.00
WA898       0902  12     52.00
WA898       0902  13     50.00
WA898       0902  14     53.00
WA898       0902  15     49.00
WA898       0902  16     44.00
WA898       0902  17     40.00
WA898       0902  18     39.00
WA898       0902  19     44.00
WA898       0902  20     37.00
WA898       0902  21     37.00
WA898       0902  22     47.00
WA898       0902  23     50.00
WA898       0902  24     46.00
WA898       0902  25     48.00
WA898       0902  26     44.00
WA898       0902  27     42.00
WA898       0902  28     46.00
WA898       0902  29     39.00
WA898       0902  30     33.00
