$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       0302  22     11.00
WA642       0302  23     25.00
WA642       0302  24     29.00
WA642       0302  25     25.00
WA642       0302  26     21.00
WA642       0302  27     18.00
WA642       0302  28     24.00
WA642       0302  29     23.00
WA642       0302  30     23.00
WA642       0302  31     23.00
WA642       0402   1     21.00
WA642       0402   2     17.00
WA642       0402   3     23.00
WA642       0402   4     27.00
WA642       0402   5     31.00
WA642       0402   6     29.00
WA642       0402   7     19.00
WA642       0402   8     18.00
WA642       0402   9     31.00
WA642       0402  10     27.00
WA642       0402  11     31.00
WA642       0402  12     33.00
WA642       0402  13     37.00
WA642       0402  14     21.00
WA642       0402  15     22.00
WA642       0402  16     20.00
WA642       0402  17     22.00
WA642       0402  18     25.00
WA642       0402  19     26.00
WA642       0402  20     22.00
WA642       0402  21     26.00
WA642       0402  22     20.00
WA642       0402  23     19.00
WA642       0402  24     16.00
WA642       0402  25     25.00
WA642       0402  26     28.00
WA642       0402  27     24.00
WA642       0402  28     22.00
WA642       0402  29     24.00
WA642       0402  30     32.00
WA642       0502   1     32.00
WA642       0502   2     23.00
WA642       0502   3     22.00
WA642       0502   4     19.00
WA642       0502   5     18.00
WA642       0502   6     14.00
WA642       0502   7     18.00
WA642       0502   8     14.00
WA642       0502   9     24.00
WA642       0502  10     25.00
WA642       0502  11     29.00
WA642       0502  12     31.00
WA642       0502  13     29.00
WA642       0502  14     29.00
WA642       0502  15     26.00
WA642       0502  16     24.00
WA642       0502  17     32.00
WA642       0502  18     32.00
WA642       0502  19     33.00
WA642       0502  20     32.00
WA642       0502  21     31.00
WA642       0502  22     29.00
WA642       0502  23     27.00
WA642       0502  24     26.00
WA642       0502  25     34.00
WA642       0502  26     34.00
WA642       0502  27     34.00
WA642       0502  28     39.00
WA642       0502  29     35.00
WA642       0502  30     29.00
WA642       0502  31     29.00
WA642       0602   1     34.00
WA642       0602   2     36.00
WA642       0602   3     31.00
WA642       0602   4     35.00
WA642       0602   5     31.00
WA642       0602   6     28.00
WA642       0602   7     25.00
WA642       0602   8     26.00
WA642       0602   9     32.00
WA642       0602  10     35.00
WA642       0602  11     34.00
WA642       0602  12     37.00
WA642       0602  13     37.00
WA642       0602  14     41.00
WA642       0602  15     37.00
WA642       0602  16     35.00
WA642       0602  17     35.00
WA642       0602  18     32.00
WA642       0602  19     30.00
WA642       0602  20     34.00
WA642       0602  21     38.00
WA642       0602  22     40.00
WA642       0602  23     37.00
WA642       0602  24     33.00
WA642       0602  25     41.00
WA642       0602  26     44.00
WA642       0602  27     42.00
WA642       0602  28     39.00
WA642       0602  29     38.00
WA642       0602  30     36.00
WA642       0702   1     33.00
WA642       0702   2     29.00
WA642       0702   3     34.00
WA642       0702   4     32.00
WA642       0702   5     29.00
WA642       0702   6     40.00
WA642       0702   7     44.00
WA642       0702   8     35.00
WA642       0702   9     34.00
WA642       0702  10     44.00
WA642       0702  11     50.00
WA642       0702  12     50.00
WA642       0702  13     51.00
WA642       0702  14     40.00
WA642       0702  15     42.00
WA642       0702  16     44.00
WA642       0702  17     46.00
WA642       0702  18     47.00
WA642       0702  19     45.00
WA642       0702  20     45.00
WA642       0702  21     44.00
WA642       0702  22     47.00
WA642       0702  23     50.00
WA642       0702  24     49.00
WA642       0702  25     52.00
WA642       0702  26     46.00
WA642       0702  27     44.00
WA642       0702  28     45.00
WA642       0702  29     43.00
WA642       0702  30     35.00
WA642       0702  31     33.00
WA642       0802   1     37.00
WA642       0802   2     31.00
WA642       0802   3     32.00
WA642       0802   4     37.00
WA642       0802   5     31.00
WA642       0802   6     36.00
WA642       0802   7     35.00
WA642       0802   8     36.00
WA642       0802   9     43.00
WA642       0802  10     41.00
WA642       0802  11     41.00
WA642       0802  12     42.00
WA642       0802  13     49.00
WA642       0802  14     45.00
WA642       0802  15     44.00
WA642       0802  16     45.00
WA642       0802  17     39.00
WA642       0802  18     38.00
WA642       0802  19     41.00
WA642       0802  20     42.00
WA642       0802  21     41.00
WA642       0802  22     41.00
WA642       0802  23     46.00
WA642       0802  24     45.00
WA642       0802  25     47.00
WA642       0802  26     42.00
WA642       0802  27     44.00
WA642       0802  28     47.00
WA642       0802  29     42.00
WA642       0802  30     37.00
WA642       0802  31     41.00
WA642       0902   1     39.00
WA642       0902   2     40.00
WA642       0902   3     33.00
WA642       0902   4     28.00
WA642       0902   5     31.00
WA642       0902   6     29.00
WA642       0902   7     31.00
WA642       0902   8     29.00
WA642       0902   9     42.00
WA642       0902  10     40.00
WA642       0902  11     42.00
WA642       0902  12     45.00
WA642       0902  13     42.00
WA642       0902  14     48.00
WA642       0902  15     41.00
WA642       0902  16     36.00
WA642       0902  17     34.00
WA642       0902  18     31.00
WA642       0902  19     36.00
WA642       0902  20     29.00
WA642       0902  21     28.00
WA642       0902  22     34.00
WA642       0902  23     41.00
WA642       0902  24     38.00
WA642       0902  25     37.00
WA642       0902  26     38.00
WA642       0902  27     33.00
WA642       0902  28     34.00
WA642       0902  29   -999.00
WA642       0902  30     26.00
WA642       1002   1     24.00
