$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       1101  22     24.00
WA630       1101  23     17.00
WA630       1101  24     18.00
WA630       1101  25     19.00
WA630       1101  26     17.00
WA630       1101  27     16.00
WA630       1101  28     14.00
WA630       1101  29     16.00
WA630       1101  30     14.00
WA630       1201   1     21.00
WA630       1201   2     14.00
WA630       1201   3     13.00
WA630       1201   4     13.00
WA630       1201   5     14.00
WA630       1201   6     16.00
WA630       1201   7     18.00
WA630       1201   8     22.00
WA630       1201   9     12.00
WA630       1201  10     17.00
WA630       1201  11     15.00
WA630       1201  12     16.00
WA630       1201  13     24.00
WA630       1201  14     11.00
WA630       1201  15     12.00
WA630       1201  16     22.00
WA630       1201  17     11.00
WA630       1201  18     13.00
WA630       1201  19     15.00
WA630       1201  20     17.00
WA630       1201  21     20.00
WA630       1201  22     15.00
WA630       1201  23     19.00
WA630       1201  24     19.00
WA630       1201  25     27.00
WA630       1201  26   -999.00
WA630       1201  27     19.00
WA630       1201  28     23.00
WA630       1201  29     15.00
WA630       1201  30     20.00
WA630       1201  31     19.00
WA630       0102   1     19.00
WA630       0102   2     24.00
WA630       0102   3     24.00
WA630       0102   4     22.00
WA630       0102   5     24.00
WA630       0102   6     27.00
WA630       0102   7     31.00
WA630       0102   8     27.00
WA630       0102   9     22.00
WA630       0102  10     26.00
WA630       0102  11     27.00
WA630       0102  12     20.00
WA630       0102  13     17.00
WA630       0102  14     13.00
WA630       0102  15     14.00
WA630       0102  16     12.00
WA630       0102  17     10.00
WA630       0102  18      9.00
WA630       0102  19     16.00
WA630       0102  20     18.00
WA630       0102  21     12.00
WA630       0102  22     12.00
WA630       0102  23     12.00
WA630       0102  24     24.00
WA630       0102  25     14.00
WA630       0102  26      8.00
WA630       0102  27      8.00
WA630       0102  28      7.00
WA630       0102  29      7.00
WA630       0102  30     11.00
WA630       0102  31     18.00
WA630       0202   1     18.00
WA630       0202   2     17.00
WA630       0202   3     17.00
WA630       0202   4     16.00
WA630       0202   5     21.00
WA630       0202   6     21.00
WA630       0202   7     18.00
WA630       0202   8     16.00
WA630       0202   9     15.00
WA630       0202  10     16.00
WA630       0202  11     13.00
WA630       0202  12     19.00
WA630       0202  13     17.00
WA630       0202  14     14.00
WA630       0202  15     26.00
WA630       0202  16     24.00
WA630       0202  17     24.00
WA630       0202  18     23.00
WA630       0202  19     20.00
WA630       0202  20     15.00
WA630       0202  21     22.00
WA630       0202  22     31.00
WA630       0202  23     19.00
WA630       0202  24      7.00
WA630       0202  25      7.00
WA630       0202  26      7.00
WA630       0202  27     15.00
WA630       0202  28     10.00
WA630       0302   1      9.00
WA630       0302   2     15.00
WA630       0302   3     25.00
WA630       0302   4     24.00
WA630       0302   5     10.00
WA630       0302   6      9.00
WA630       0302   7      6.00
WA630       0302   8      5.00
WA630       0302   9     11.00
WA630       0302  10     19.00
WA630       0302  11     19.00
WA630       0302  12     19.00
WA630       0302  13     17.00
WA630       0302  14     16.00
WA630       0302  15     14.00
WA630       0302  16     10.00
WA630       0302  17      8.00
WA630       0302  18     10.00
WA630       0302  19     18.00
WA630       0302  20      9.00
WA630       0302  21      8.00
WA630       0302  22     28.00
WA630       0302  23     25.00
WA630       0302  24     26.00
WA630       0302  25     24.00
WA630       0302  26     17.00
WA630       0302  27     16.00
WA630       0302  28     19.00
WA630       0302  29     19.00
WA630       0302  30     23.00
WA630       0302  31     23.00
WA630       0402   1     18.00
WA630       0402   2     15.00
WA630       0402   3     23.00
WA630       0402   4     26.00
WA630       0402   5     30.00
WA630       0402   6     25.00
WA630       0402   7     17.00
WA630       0402   8     16.00
WA630       0402   9     27.00
WA630       0402  10     27.00
WA630       0402  11     28.00
WA630       0402  12     30.00
WA630       0402  13     32.00
WA630       0402  14     17.00
WA630       0402  15     19.00
WA630       0402  16     18.00
WA630       0402  17     22.00
WA630       0402  18     20.00
WA630       0402  19     23.00
WA630       0402  20     26.00
WA630       0402  21     26.00
WA630       0402  22     17.00
WA630       0402  23     12.00
WA630       0402  24     14.00
WA630       0402  25     24.00
WA630       0402  26     21.00
WA630       0402  27     27.00
WA630       0402  28     24.00
WA630       0402  29     28.00
WA630       0402  30     36.00
WA630       0502   1     32.00
WA630       0502   2     20.00
WA630       0502   3     19.00
WA630       0502   4     20.00
WA630       0502   5     14.00
WA630       0502   6     14.00
WA630       0502   7     17.00
WA630       0502   8     16.00
WA630       0502   9     22.00
WA630       0502  10     20.00
WA630       0502  11     24.00
WA630       0502  12     38.00
WA630       0502  13     25.00
WA630       0502  14     21.00
WA630       0502  15     18.00
WA630       0502  16     27.00
WA630       0502  17     30.00
WA630       0502  18     33.00
WA630       0502  19     35.00
WA630       0502  20     32.00
WA630       0502  21     28.00
WA630       0502  22     28.00
WA630       0502  23     27.00
WA630       0502  24     28.00
WA630       0502  25     35.00
WA630       0502  26     34.00
WA630       0502  27     35.00
WA630       0502  28     37.00
WA630       0502  29     34.00
WA630       0502  30     30.00
WA630       0502  31     30.00
WA630       0602   1     35.00
WA630       0602   2     33.00
WA630       0602   3     35.00
WA630       0602   4     36.00
WA630       0602   5     28.00
WA630       0602   6     26.00
WA630       0602   7     23.00
WA630       0602   8     24.00
WA630       0602   9     35.00
WA630       0602  10     36.00
WA630       0602  11     37.00
WA630       0602  12     45.00
WA630       0602  13     49.00
WA630       0602  14     44.00
WA630       0602  15     43.00
WA630       0602  16     35.00
WA630       0602  17     34.00
WA630       0602  18     32.00
WA630       0602  19     32.00
WA630       0602  20     41.00
WA630       0602  21     46.00
WA630       0602  22     42.00
WA630       0602  23     39.00
WA630       0602  24     36.00
WA630       0602  25     47.00
WA630       0602  26     48.00
WA630       0602  27     39.00
WA630       0602  28     36.00
WA630       0602  29     35.00
WA630       0602  30     34.00
WA630       0702   1     31.00
WA630       0702   2     29.00
WA630       0702   3     32.00
WA630       0702   4     30.00
WA630       0702   5     29.00
WA630       0702   6     46.00
WA630       0702   7     43.00
WA630       0702   8     36.00
WA630       0702   9     39.00
WA630       0702  10     53.00
WA630       0702  11     55.00
WA630       0702  12     54.00
