$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0802  21     46.00
WA975       0802  22     45.00
WA975       0802  23     46.00
WA975       0802  24     48.00
WA975       0802  25     48.00
WA975       0802  26     48.00
WA975       0802  27     44.00
WA975       0802  28     48.00
WA975       0802  29     48.00
WA975       0802  30     47.00
WA975       0802  31     48.00
WA975       0902   1     43.00
WA975       0902   2     42.00
WA975       0902   3     35.00
WA975       0902   4     35.00
WA975       0902   5     34.00
WA975       0902   6     33.00
WA975       0902   7     36.00
WA975       0902   8     36.00
WA975       0902   9     41.00
WA975       0902  10     43.00
WA975       0902  11     41.00
WA975       0902  12     43.00
WA975       0902  13     42.00
WA975       0902  14     45.00
WA975       0902  15     45.00
WA975       0902  16     44.00
WA975       0902  17     37.00
WA975       0902  18     38.00
WA975       0902  19     38.00
WA975       0902  20     32.00
WA975       0902  21     32.00
WA975       0902  22     35.00
WA975       0902  23     38.00
WA975       0902  24     38.00
WA975       0902  25     34.00
WA975       0902  26     37.00
WA975       0902  27     38.00
WA975       0902  28     35.00
WA975       0902  29     36.00
WA975       0902  30     34.00
