$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0502  25     39.00
WA734       0502  26     40.00
WA734       0502  27     41.00
WA734       0502  28     42.00
WA734       0502  29     38.00
WA734       0502  30     35.00
WA734       0502  31     35.00
WA734       0602   1     39.00
WA734       0602   2     39.00
WA734       0602   3     39.00
WA734       0602   4     42.00
WA734       0602   5     35.00
WA734       0602   6     31.00
WA734       0602   7     28.00
WA734       0602   8     28.00
WA734       0602   9     38.00
WA734       0602  10     39.00
WA734       0602  11     41.00
WA734       0602  12     49.00
WA734       0602  13     52.00
WA734       0602  14     50.00
WA734       0602  15     49.00
WA734       0602  16     41.00
WA734       0602  17     40.00
WA734       0602  18     36.00
WA734       0602  19     36.00
WA734       0602  20     44.00
WA734       0602  21     51.00
WA734       0602  22     48.00
WA734       0602  23     44.00
WA734       0602  24     41.00
WA734       0602  25   -999.00
WA734       0602  26     57.00
WA734       0602  27     47.00
WA734       0602  28     44.00
WA734       0602  29     40.00
WA734       0602  30   -999.00
WA734       0702   1   -999.00
WA734       0702   2   -999.00
WA734       0702   3   -999.00
WA734       0702   4   -999.00
WA734       0702   5   -999.00
WA734       0702   6   -999.00
WA734       0702   7   -999.00
WA734       0702   8   -999.00
WA734       0702   9   -999.00
WA734       0702  10   -999.00
WA734       0702  11   -999.00
WA734       0702  12   -999.00
WA734       0702  13   -999.00
WA734       0702  14   -999.00
WA734       0702  15   -999.00
WA734       0702  16   -999.00
WA734       0702  17   -999.00
WA734       0702  18   -999.00
WA734       0702  19   -999.00
WA734       0702  20   -999.00
WA734       0702  21   -999.00
WA734       0702  22   -999.00
WA734       0702  23   -999.00
WA734       0702  24   -999.00
WA734       0702  25   -999.00
WA734       0702  26   -999.00
WA734       0702  27   -999.00
WA734       0702  28   -999.00
WA734       0702  29   -999.00
WA734       0702  30   -999.00
WA734       0702  31   -999.00
WA734       0802   1   -999.00
WA734       0802   2   -999.00
WA734       0802   3   -999.00
WA734       0802   4   -999.00
WA734       0802   5   -999.00
WA734       0802   6   -999.00
WA734       0802   7   -999.00
WA734       0802   8   -999.00
WA734       0802   9   -999.00
WA734       0802  10   -999.00
WA734       0802  11   -999.00
WA734       0802  12   -999.00
WA734       0802  13   -999.00
WA734       0802  14   -999.00
WA734       0802  15   -999.00
WA734       0802  16   -999.00
WA734       0802  17   -999.00
WA734       0802  18   -999.00
WA734       0802  19   -999.00
WA734       0802  20   -999.00
WA734       0802  21   -999.00
WA734       0802  22   -999.00
WA734       0802  23   -999.00
WA734       0802  24   -999.00
WA734       0802  25   -999.00
WA734       0802  26   -999.00
WA734       0802  27   -999.00
