$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
WA841       0702  13     65.00
WA841       0702  14     53.00
WA841       0702  15     50.00
WA841       0702  16     57.00
WA841       0702  17     57.00
WA841       0702  18     54.00
WA841       0702  19     50.00
WA841       0702  20     48.00
WA841       0702  21     52.00
WA841       0702  22     55.00
WA841       0702  23     60.00
WA841       0702  24     59.00
WA841       0702  25     58.00
WA841       0702  26     49.00
WA841       0702  27     49.00
WA841       0702  28     48.00
WA841       0702  29     46.00
WA841       0702  30     43.00
WA841       0702  31     38.00
WA841       0802   1     43.00
WA841       0802   2     40.00
WA841       0802   3     41.00
WA841       0802   4     39.00
WA841       0802   5     36.00
WA841       0802   6     37.00
WA841       0802   7     39.00
WA841       0802   8     44.00
WA841       0802   9     51.00
WA841       0802  10     49.00
WA841       0802  11     48.00
WA841       0802  12     52.00
WA841       0802  13     56.00
WA841       0802  14     56.00
WA841       0802  15     53.00
WA841       0802  16     49.00
WA841       0802  17     50.00
WA841       0802  18     47.00
WA841       0802  19     47.00
WA841       0802  20     47.00
WA841       0802  21     45.00
WA841       0802  22     51.00
WA841       0802  23     53.00
WA841       0802  24     54.00
WA841       0802  25     50.00
WA841       0802  26     48.00
WA841       0802  27     55.00
WA841       0802  28     55.00
WA841       0802  29     55.00
WA841       0802  30     53.00
WA841       0802  31     52.00
WA841       0902   1     48.00
WA841       0902   2     47.00
WA841       0902   3     38.00
WA841       0902   4     35.00
WA841       0902   5     39.00
WA841       0902   6     37.00
WA841       0902   7     36.00
WA841       0902   8     35.00
WA841       0902   9     43.00
WA841       0902  10     48.00
WA841       0902  11     52.00
WA841       0902  12     56.00
WA841       0902  13     52.00
WA841       0902  14     57.00
WA841       0902  15     47.00
WA841       0902  16     45.00
WA841       0902  17     40.00
WA841       0902  18     38.00
WA841       0902  19     43.00
WA841       0902  20     36.00
WA841       0902  21     36.00
WA841       0902  22     42.00
WA841       0902  23     46.00
WA841       0902  24     45.00
WA841       0902  25     42.00
WA841       0902  26     40.00
WA841       0902  27     40.00
WA841       0902  28     41.00
WA841       0902  29     35.00
WA841       0902  30     30.00
